Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AGARIND,BE,6-Jun-17,709.9,702,710,702,710,702.45,703.7,1327,933805.35,20,-,-
AGARIND,BE,7-Jun-17,702.45,710,710,698,700,700,705.4,890,627810,20,-,-
AGARIND,BE,8-Jun-17,700,672,700,672,695,695,688.63,2205,1518439.7,79,-,-
AGARIND,BE,9-Jun-17,695,672,700,672,699.45,699.45,689.73,1082,746286,23,-,-
AGARIND,BE,12-Jun-17,699.45,700,700,675,685,685,691.4,459,317352.5,18,-,-
AGARIND,BE,13-Jun-17,685,695,705,680,705,692.55,691.36,11398,7880089.5,115,-,-
AGARIND,BE,14-Jun-17,692.55,692,710,675.05,708,704.95,702.14,2219,1558056.05,44,-,-
AGARIND,BE,15-Jun-17,704.95,715,739.5,700,700,707.15,711.97,20125,14328341.75,147,-,-
AGARIND,BE,16-Jun-17,707.15,705,720,691,706.95,700.75,708.66,1915,1357087.5,28,-,-
AGARIND,BE,19-Jun-17,700.75,718.95,720,691,707.7,695.85,704.46,5661,3987950.25,44,-,-
AGARIND,BE,20-Jun-17,695.85,705,705,690,694,694,693.63,1285,891309,26,-,-
AGARIND,BE,21-Jun-17,694,686,709,685,688,688.1,698.54,661,461737.5,18,-,-
AGARIND,BE,22-Jun-17,688.1,687,690,685,686,686,686.72,357,245158.5,9,-,-
AGARIND,BE,23-Jun-17,686,699,700,686,687.1,687.1,695.89,1437,999988.85,26,-,-
AGARIND,BE,27-Jun-17,687.1,673,688.85,673,674,674,678.44,1809,1227305.1,29,-,-
AGARIND,BE,28-Jun-17,674,689,690,672,678,678,677.33,474,321055.5,19,-,-
AGARIND,BE,29-Jun-17,678,671,705,671,675,675,677.09,211,142867,9,-,-
AGARIND,BE,30-Jun-17,675,670.05,690,666,690,689.8,673.27,1539,1036163.45,31,-,-
AGARIND,BE,3-Jul-17,689.8,688,690,680,689.9,689.9,687.35,2398,1648267.2,16,-,-
AGARIND,BE,4-Jul-17,689.9,689.9,690,667.7,680,679.75,677.38,897,607613.75,32,-,-
AGARIND,BE,5-Jul-17,679.75,666.2,679.9,666.2,679.9,673.45,671.37,507,340386.8,24,-,-
AGARIND,BE,6-Jul-17,673.45,685,690,670,670,671.8,680.15,1248,848829.35,32,-,-
AGARIND,BE,7-Jul-17,671.8,670.1,684,661.05,678.7,668.35,669.94,1018,681996.15,42,-,-
AGARIND,BE,11-Jul-17,668.35,676.7,676.7,644,668,662.05,666.75,2184,1456183.35,47,-,-
AGARIND,BE,12-Jul-17,662.05,669.95,678,668,668,668,669.19,1605,1074046.8,46,-,-
AGARIND,BE,13-Jul-17,668,665.1,670,665,670,670,667.12,712,474988,20,-,-
AGARIND,BE,14-Jul-17,670,650.05,670,640,670,659.95,651.87,5379,3506398.05,58,-,-
AGARIND,BE,17-Jul-17,659.95,670,670,636.1,640,643.7,644.69,714,460307.5,24,-,-
AGARIND,BE,18-Jul-17,643.7,640,650,637,650,641.5,640.27,3886,2488090.15,103,-,-
AGARIND,BE,19-Jul-17,641.5,650,654,615,620,625.7,627.5,4403,2762879,131,-,-
AGARIND,BE,20-Jul-17,625.7,644,644,603,605,603.85,610.83,7778,4751024.3,159,-,-
AGARIND,BE,21-Jul-17,603.85,605,619,573.7,617,604.75,595.01,29457,17527184.85,513,-,-
AGARIND,BE,24-Jul-17,604.75,607,622,580,620,604.4,601.95,7317,4404456.15,88,-,-
AGARIND,BE,25-Jul-17,604.4,632.5,632.5,584,610,605,602.14,1558,938131.75,29,-,-
AGARIND,BE,26-Jul-17,605,610,620,609,609,610.65,615.37,857,527372.5,37,-,-
AGARIND,BE,27-Jul-17,610.65,590,620,590,600,601.15,598.73,3031,1814736,26,-,-
AGARIND,BE,28-Jul-17,601.15,612,624.95,585,621,617.35,614.73,4304,2645814.15,49,-,-
AGARIND,BE,31-Jul-17,617.35,625,625,586.5,586.5,586.95,592.71,2237,1325885.25,53,-,-
AGARIND,BE,1-Aug-17,586.95,599,609,585,598,597.9,592.31,1926,1140789.8,17,-,-
AGARIND,BE,2-Aug-17,597.9,590,595,575.4,588,586.85,582.15,3133,1823889.95,27,-,-
AGARIND,BE,3-Aug-17,586.85,575.4,575.5,565,565,569.2,572.07,626,358115,11,-,-
AGARIND,BE,4-Aug-17,569.2,542,569,542,558,559.4,557.78,1954,1089909.9,32,-,-
AGARIND,BE,7-Aug-17,559.4,557,587.35,535.05,585,585,581.93,3630,2112401.05,57,-,-
AGARIND,BE,8-Aug-17,585,563,609,563,607.5,607.95,603.76,8947,5401810.15,66,-,-
AGARIND,BE,9-Aug-17,607.95,609.9,609.9,590,596,596.95,601.61,3117,1875216.25,54,-,-
AGARIND,BE,10-Aug-17,596.95,580,580,568.15,568.15,570.85,572.74,1025,587057.5,13,-,-
AGARIND,BE,11-Aug-17,570.85,546,563,542.35,542.35,542.4,543,5947,3229210.15,56,-,-
AGARIND,BE,14-Aug-17,542.4,545,560,515.3,545,549.75,542.01,1749,947977.6,14,-,-
AGARIND,BE,16-Aug-17,549.75,532,560,525,550,550,554.2,1379,764239.2,14,-,-
AGARIND,BE,17-Aug-17,550,551,559.95,551,551,551,551.93,336,185449.25,9,-,-
AGARIND,BE,18-Aug-17,551,530,565,530,540,540,541.12,1250,676406,13,-,-
AGARIND,BE,21-Aug-17,540,530,565.2,513,565.2,553.8,545.7,3992,2178428.4,36,-,-
AGARIND,BE,22-Aug-17,553.8,569.6,573,530,569,569,564.37,1122,633222,25,-,-
AGARIND,BE,23-Aug-17,569,555,584,552,572,572.2,571.33,1814,1036391.7,46,-,-
AGARIND,BE,24-Aug-17,572.2,551.55,592.9,551.55,582,582,576.73,2870,1655220.1,29,-,-
AGARIND,BE,28-Aug-17,582,586,590,582,585,585,588.2,384,225868,11,-,-
AGARIND,BE,29-Aug-17,585,583,583,570,570,570,573.83,592,339710.2,9,-,-
AGARIND,BE,30-Aug-17,570,570,598,570,590,590,592.47,1716,1016672,24,-,-
AGARIND,BE,31-Aug-17,590,590,604,590,600,599.35,598.86,467,279669.4,16,-,-
AGARIND,BE,1-Sep-17,599.35,606,615,603,603.5,603.5,611.61,5675,3470901.25,14,-,-
AGARIND,BE,4-Sep-17,603.5,620,632.35,600,610,610,607.4,7543,4581634.95,36,-,-
AGARIND,BE,5-Sep-17,610,587,629.45,587,621,621,621.82,1695,1053991,17,-,-
AGARIND,BE,6-Sep-17,621,628.9,630,602,621,628,626.35,1507,943905,27,-,-
AGARIND,BE,7-Sep-17,628,601,630,601,630,628.5,619.05,912,564576.5,15,-,-
