Date,Open,High,Low,Close Price,Shares Traded,Turnover (Rs. Cr)
1-Dec-15,7958.15,7972.15,7934.15,7954.9,142945421,6796.67
2-Dec-15,7976.7,7979.3,7910.8,7931.35,130207404,6242.53
3-Dec-15,7902.3,7912.3,7853.3,7864.15,129628400,5636.41
4-Dec-15,7817.6,7821.4,7775.7,7781.9,157231681,7758.36
7-Dec-15,7816.55,7825.4,7746.05,7765.4,141893279,6403.97
8-Dec-15,7738.5,7771.25,7685.45,7701.7,139318392,5986.06
9-Dec-15,7695.5,7702.85,7606.9,7612.5,144315690,6599.6
10-Dec-15,7643.3,7691.95,7610,7683.3,145249292,6492.02
11-Dec-15,7699.6,7703.05,7575.3,7610.45,172996480,6894.44
14-Dec-15,7558.2,7663.95,7551.05,7650.05,153492615,6290.42
15-Dec-15,7659.15,7705,7625.1,7700.9,138479057,6152.14
16-Dec-15,7725.25,7776.6,7715.75,7750.9,159149338,6703.76
17-Dec-15,7783.05,7852.9,7737.55,7844.35,181256780,7367.15
18-Dec-15,7828.9,7836.15,7753.35,7761.95,197319843,8074.5
21-Dec-15,7745.65,7840.75,7733.45,7834.45,130174102,5558.38
22-Dec-15,7829.4,7846.3,7776.85,7786.1,129633328,5028.11
23-Dec-15,7830.45,7871.45,7826.1,7865.95,121480721,4663.45
24-Dec-15,7888.75,7888.75,7835.5,7861.05,96374245,3383.99
28-Dec-15,7863.2,7937.2,7863,7925.15,126737811,5755.48
29-Dec-15,7929.2,7942.15,7902.75,7928.95,116535971,4950.36
30-Dec-15,7938.6,7944.75,7889.85,7896.25,110145855,4392.87
31-Dec-15,7897.8,7955.55,7891.15,7946.35,155645098,6780.85
1-Jan-16,7938.45,7972.55,7909.8,7963.2,64843836,2613.91
4-Jan-16,7924.55,7937.55,7781.1,7791.3,138864905,5897.08
5-Jan-16,7828.4,7831.2,7763.25,7784.65,149672973,5948.51
6-Jan-16,7788.05,7800.95,7721.2,7741,151715828,6722.17
7-Jan-16,7673.35,7674.95,7556.6,7568.3,194732861,7803.21
8-Jan-16,7611.65,7634.1,7581.05,7601.35,162348690,6753.57
11-Jan-16,7527.45,7605.1,7494.35,7563.85,194836791,7327.15
12-Jan-16,7587.2,7588.3,7487.8,7510.3,168975973,7071.48
13-Jan-16,7557.9,7590.95,7425.8,7562.4,221908258,9585.17
14-Jan-16,7467.4,7604.8,7443.8,7536.8,206988549,9246.75
15-Jan-16,7561.65,7566.5,7427.3,7437.8,203643071,8279.07
18-Jan-16,7420.35,7463.65,7336.4,7351,240798183,8431.56
19-Jan-16,7381.8,7462.75,7364.15,7435.1,194068339,7038.84
20-Jan-16,7357,7470.9,7241.5,7309.3,232614141,8794.16
21-Jan-16,7376.65,7398.7,7250,7276.8,248113284,9401.16
22-Jan-16,7355.7,7433.4,7327.6,7422.45,236282061,7666.39
25-Jan-16,7468.75,7487.15,7421.2,7436.15,168202502,5910.99
27-Jan-16,7469.6,7477.9,7419.7,7437.75,193389891,6834.77
28-Jan-16,7426.5,7468.85,7409.6,7424.65,283036298,10049.88
29-Jan-16,7413.35,7575.65,7402.8,7563.55,307934042,11277.33
1-Feb-16,7589.5,7600.45,7541.25,7555.95,206645021,8209.5
2-Feb-16,7566.65,7576.3,7428.05,7455.55,237338907,8030.99
